date,time,latitude,longitude,number,step,surface,u10,v10
2020-01-01,0100,34.8,-118.6,0,0 days,0.0,-0.39479828,-1.8627491
2020-01-01,0100,34.8,-118.35,0,0 days,0.0,-1.4684067,-1.933794
2020-01-01,0100,34.8,-118.1,0,0 days,0.0,-1.814476,-1.7992725
2020-01-01,0100,34.8,-117.85,0,0 days,0.0,-0.9366684,-1.879961
2020-01-01,0100,34.8,-117.6,0,0 days,0.0,-0.013328552,-1.8963184
2020-01-01,0100,34.55,-119.1,0,0 days,0.0,0.38230133,-2.0736866
2020-01-01,0100,34.55,-118.85,0,0 days,0.0,-0.4321518,-2.440874
2020-01-01,0100,34.55,-118.6,0,0 days,0.0,-1.1438217,-2.4137745
2020-01-01,0100,34.55,-118.35,0,0 days,0.0,-1.3454819,-2.1416798
2020-01-01,0100,34.55,-118.1,0,0 days,0.0,-1.5062485,-1.8932667
2020-01-01,0100,34.55,-117.85,0,0 days,0.0,-0.8247299,-2.1204395
2020-01-01,0100,34.55,-117.6,0,0 days,0.0,-0.27651215,-2.402544
2020-01-01,0100,34.3,-119.1,0,0 days,0.0,1.1950455,-1.711504
2020-01-01,0100,34.3,-118.85,0,0 days,0.0,0.118751526,-2.0670948
2020-01-01,0100,34.3,-118.6,0,0 days,0.0,-0.35744476,-2.2882862
2020-01-01,0100,34.3,-118.35,0,0 days,0.0,-0.5670395,-1.9762745
2020-01-01,0100,34.3,-118.1,0,0 days,0.0,-0.7911606,-1.5950489
2020-01-01,0100,34.3,-117.85,0,0 days,0.0,-0.5727768,-1.8084278
2020-01-01,0100,34.3,-117.6,0,0 days,0.0,-0.73659515,-2.4883595
2020-01-01,0100,34.05,-119.1,0,0 days,0.0,3.277443,-2.487627
2020-01-01,0100,34.05,-118.85,0,0 days,0.0,1.6197281,-2.270708
2020-01-01,0100,34.05,-118.6,0,0 days,0.0,0.956398,-2.1778126
2020-01-01,0100,34.05,-118.35,0,0 days,0.0,0.42990875,-1.5147266
2020-01-01,0100,34.05,-118.1,0,0 days,0.0,0.024391174,-1.0945606
2020-01-01,0100,34.05,-117.85,0,0 days,0.0,-0.63222504,-1.2903614
2020-01-01,0100,34.05,-117.6,0,0 days,0.0,-0.9040756,-1.8925343
2020-01-01,0100,33.8,-119.1,0,0 days,0.0,5.108864,-3.5044727
2020-01-01,0100,33.8,-118.85,0,0 days,0.0,3.353981,-2.8527393
2020-01-01,0100,33.8,-118.6,0,0 days,0.0,1.748024,-1.501421
2020-01-01,0100,33.8,-118.35,0,0 days,0.0,0.9949722,-0.63728523
2020-01-01,0100,33.8,-118.1,0,0 days,0.0,0.51792145,-0.8118458
2020-01-01,0100,33.8,-117.85,0,0 days,0.0,-0.16860199,-1.3083057
2020-01-01,0100,33.8,-117.6,0,0 days,0.0,-0.64003754,-1.798418
2020-01-01,0100,33.55,-119.1,0,0 days,0.0,5.5792007,-3.838335
2020-01-01,0100,33.55,-118.85,0,0 days,0.0,4.02903,-2.3150196
2020-01-01,0100,33.55,-118.6,0,0 days,0.0,2.2813492,-0.8665333
2020-01-01,0100,33.55,-118.35,0,0 days,0.0,1.1603775,-0.25691414
2020-01-01,0100,33.55,-118.1,0,0 days,0.0,0.6867447,-0.62446785
2020-01-01,0100,33.55,-117.85,0,0 days,0.0,0.38718414,-1.3752003
2020-01-01,0100,33.55,-117.6,0,0 days,0.0,-0.096336365,-1.6772022
2020-01-01,0100,33.3,-119.1,0,0 days,0.0,5.4968033,-3.8806934
2020-01-01,0100,33.3,-118.85,0,0 days,0.0,3.833229,-2.1747608
2020-01-01,0100,33.3,-118.6,0,0 days,0.0,1.5441666,-0.8986378
2020-01-01,0100,33.3,-118.35,0,0 days,0.0,0.35874176,-0.38716316
2020-01-01,0100,33.3,-118.1,0,0 days,0.0,0.41806793,-0.29841805
2020-01-01,0100,33.3,-117.85,0,0 days,0.0,0.5004654,-0.56770515
2020-01-01,0100,33.3,-117.6,0,0 days,0.0,0.40085602,-0.35432625
2020-01-01,0100,33.05,-119.1,0,0 days,0.0,5.204567,-3.907549
2020-01-01,0100,33.05,-118.85,0,0 days,0.0,3.352028,-1.8811817
2020-01-01,0100,33.05,-118.6,0,0 days,0.0,0.9501724,-0.633379
2020-01-01,0100,33.05,-118.35,0,0 days,0.0,-0.47475433,-0.16377449
2020-01-01,0100,33.05,-118.1,0,0 days,0.0,-0.44094086,0.07816887
2020-01-01,0100,33.05,-117.85,0,0 days,0.0,0.2607193,0.4995556
2020-01-01,0100,33.05,-117.6,0,0 days,0.0,0.49338531,0.76041985
2020-01-01,0100,32.8,-119.1,0,0 days,0.0,4.9744644,-3.8986378
2020-01-01,0100,32.8,-118.85,0,0 days,0.0,3.1969986,-1.7627735
2020-01-01,0100,32.8,-118.6,0,0 days,0.0,0.91135406,-0.49006844
2020-01-01,0100,32.8,-118.35,0,0 days,0.0,-0.5217514,-0.1250782
2020-01-01,0100,32.8,-118.1,0,0 days,0.0,-0.73818207,-0.02278328
2020-01-01,0100,32.8,-117.85,0,0 days,0.0,-0.16738129,0.33537102
2020-01-01,0100,32.8,-117.6,0,0 days,0.0,0.26511383,0.41789055
2020-01-01,0200,34.8,-119.1,0,0 days,0.0,0.26437187,-1.7750006
2020-01-01,0200,34.8,-118.85,0,0 days,0.0,1.0226727,-1.9621344
2020-01-01,0200,34.8,-118.6,0,0 days,0.0,0.3925457,-2.0104742
2020-01-01,0200,34.8,-118.35,0,0 days,0.0,-0.5853596,-2.1666021
2020-01-01,0200,34.8,-118.1,0,0 days,0.0,-1.4258137,-0.9040289
2020-01-01,0200,34.8,-117.85,0,0 days,0.0,-1.0766926,-0.36154842
2020-01-01,0200,34.8,-117.6,0,0 days,0.0,-0.1880207,-0.15293026
2020-01-01,0200,34.55,-119.1,0,0 days,0.0,0.066617966,-2.1172857
2020-01-01,0200,34.55,-118.85,0,0 days,0.0,0.10616875,-2.6175299
2020-01-01,0200,34.55,-118.6,0,0 days,0.0,-0.37747383,-2.6147223
2020-01-01,0200,34.55,-118.35,0,0 days,0.0,-0.9783039,-2.0995855
2020-01-01,0200,34.55,-118.1,0,0 days,0.0,-1.681551,-1.218482
2020-01-01,0200,34.55,-117.85,0,0 days,0.0,-1.007967,-1.1585455
2020-01-01,0200,34.55,-117.6,0,0 days,0.0,-0.32473946,-1.2131109
2020-01-01,0200,34.3,-119.1,0,0 days,0.0,0.79989433,-2.0718756
2020-01-01,0200,34.3,-118.85,0,0 days,0.0,0.39657402,-2.4046392
2020-01-01,0200,34.3,-118.6,0,0 days,0.0,-0.11892891,-2.2457037
